Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.18,-.25,-.09,-.16,-.10,-.21,-.18,-.10,-.14,-.23,-.21,-.16,-.17,***,***,-.12,-.16,-.20
1881,-.18,-.14,.05,.06,.07,-.18,.00,-.03,-.15,-.21,-.18,-.07,-.08,-.09,-.16,.06,-.07,-.18
1882,.17,.15,.05,-.15,-.14,-.22,-.16,-.07,-.15,-.23,-.16,-.36,-.11,-.08,.08,-.08,-.15,-.18
1883,-.28,-.37,-.13,-.19,-.18,-.07,-.07,-.13,-.22,-.11,-.24,-.11,-.17,-.20,-.34,-.16,-.09,-.19
1884,-.12,-.08,-.37,-.40,-.34,-.35,-.33,-.27,-.28,-.25,-.33,-.31,-.29,-.27,-.11,-.37,-.32,-.29
1885,-.58,-.33,-.26,-.42,-.44,-.44,-.34,-.30,-.28,-.23,-.23,-.09,-.33,-.35,-.41,-.38,-.36,-.25
1886,-.43,-.50,-.42,-.27,-.24,-.34,-.17,-.30,-.23,-.27,-.26,-.24,-.31,-.29,-.34,-.31,-.27,-.26
1887,-.71,-.56,-.35,-.33,-.29,-.23,-.25,-.34,-.25,-.35,-.25,-.33,-.35,-.35,-.50,-.33,-.28,-.28
1888,-.33,-.35,-.40,-.19,-.21,-.16,-.10,-.15,-.12,.02,.04,-.04,-.17,-.19,-.33,-.27,-.14,-.02
1889,-.08,.18,.06,.10,.00,-.10,-.07,-.20,-.24,-.25,-.33,-.29,-.10,-.08,.02,.05,-.12,-.27
1890,-.42,-.46,-.40,-.29,-.40,-.24,-.28,-.39,-.36,-.25,-.44,-.31,-.35,-.35,-.39,-.36,-.30,-.35
1891,-.33,-.47,-.17,-.27,-.16,-.20,-.17,-.16,-.15,-.21,-.30,-.04,-.22,-.24,-.37,-.20,-.18,-.22
1892,-.27,-.09,-.39,-.32,-.23,-.22,-.31,-.26,-.15,-.13,-.41,-.36,-.26,-.23,-.13,-.31,-.26,-.23
1893,-.79,-.54,-.21,-.26,-.33,-.25,-.14,-.24,-.22,-.18,-.18,-.32,-.30,-.31,-.57,-.27,-.21,-.19
1894,-.51,-.27,-.21,-.44,-.30,-.39,-.23,-.23,-.27,-.22,-.24,-.20,-.29,-.30,-.37,-.32,-.29,-.24
1895,-.39,-.42,-.31,-.20,-.26,-.20,-.16,-.16,-.12,-.10,-.15,-.13,-.22,-.22,-.33,-.26,-.18,-.12
1896,-.20,-.12,-.25,-.29,-.15,-.10,-.02,-.04,-.06,.08,-.03,-.04,-.10,-.11,-.15,-.23,-.05,-.01
1897,-.13,-.15,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.11,-.18,-.20,-.10,-.09,-.11,-.05,-.08,-.13
1898,-.01,-.29,-.50,-.29,-.29,-.18,-.21,-.25,-.21,-.34,-.37,-.23,-.26,-.26,-.17,-.36,-.21,-.31
1899,-.16,-.37,-.35,-.20,-.23,-.31,-.15,-.07,-.04,-.04,.13,-.26,-.17,-.17,-.25,-.26,-.18,.02
1900,-.35,-.04,.02,-.08,-.08,-.09,-.12,-.08,-.05,.10,-.06,-.06,-.07,-.09,-.22,-.05,-.10,.00
1901,-.23,-.10,.06,-.02,-.16,-.12,-.14,-.20,-.22,-.29,-.17,-.27,-.15,-.14,-.13,-.04,-.15,-.23
1902,-.17,-.06,-.28,-.27,-.31,-.30,-.28,-.29,-.29,-.29,-.35,-.42,-.28,-.26,-.17,-.29,-.29,-.31
1903,-.23,-.05,-.22,-.41,-.40,-.42,-.35,-.45,-.50,-.48,-.42,-.51,-.37,-.36,-.23,-.34,-.41,-.47
